muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
310,2017,13-sep,21,22,8079.451232,8214.864258,1
311,2017,13-sep,22,23,7887.525962,7938.297363,1
312,2017,13-sep,23,24,7546.014854,7841.688477,1
313,2017,14-sep,0,1,7118.347239,7297.690918,1
314,2017,14-sep,1,2,6876.620568,7093.97168,1
315,2017,14-sep,2,3,6723.633686,6697.402344,1
316,2017,14-sep,3,4,6655.613199,6615.543945,1
317,2017,14-sep,4,5,6618.39136,6641.022949,1
318,2017,14-sep,5,6,6696.388575,6502.591797,1
319,2017,14-sep,6,7,7085.659449,6787.479004,1
320,2017,14-sep,7,8,7552.761458,7395.499023,1
321,2017,14-sep,8,9,7799.386667,7584.576172,1
322,2017,14-sep,9,10,8075.187888,7847.570313,1
323,2017,14-sep,10,11,8217.599431,8117.216309,1
324,2017,14-sep,11,12,8332.698231,8309.854492,1
325,2017,14-sep,12,13,8499.247076,8321.816406,1
326,2017,14-sep,13,14,8506.829949,8490.038086,1
327,2017,14-sep,14,15,8443.977406,8460.393555,1
328,2017,14-sep,15,16,8417.521329,8354.095703,1
329,2017,14-sep,16,17,8362.210993,8348.790039,1
330,2017,14-sep,17,18,8220.252797,8262.067383,1
331,2017,14-sep,18,19,7912.119247,8019.49707,1
332,2017,14-sep,19,20,7532.409723,7652.838867,1
333,2017,14-sep,20,21,8083.913175,7716.898926,1
334,2017,14-sep,21,22,8072.171519,8161.317871,1
335,2017,14-sep,22,23,7938.080864,7945.075195,1
336,2017,14-sep,23,24,7666.172167,7946.330078,1
337,2017,15-sep,0,1,7213.305717,7409.397949,1
338,2017,15-sep,1,2,6925.81997,7068.16748,1
339,2017,15-sep,2,3,6737.668457,6884.925781,1
340,2017,15-sep,3,4,6613.008258,6633.384766,1
341,2017,15-sep,4,5,6604.861244,6571.707031,1
342,2017,15-sep,5,6,6631.094528,6512.615234,1
343,2017,15-sep,6,7,6908.389913,6546.204102,1
344,2017,15-sep,7,8,7315.242661,7079.573242,1
345,2017,15-sep,8,9,7560.629253,7238.774414,1
346,2017,15-sep,9,10,7803.099205,7697.020508,1
347,2017,15-sep,10,11,7886.24514,7829.057617,1
348,2017,15-sep,11,12,8019.984581,7901.223633,1
349,2017,15-sep,12,13,8159.665462,8137.106445,1
350,2017,15-sep,13,14,8147.87092,8188.214844,1
351,2017,15-sep,14,15,8045.752717,8118.814453,1
352,2017,15-sep,15,16,8011.686039,7916.961914,1
353,2017,15-sep,16,17,7999.686802,7936.023438,1
354,2017,15-sep,17,18,7754.851332,7941.473633,1
355,2017,15-sep,18,19,7452.925716,7602.202148,1
356,2017,15-sep,19,20,7022.109665,7134.443359,1
357,2017,15-sep,20,21,7454.470175,7221.036133,1
358,2017,15-sep,21,22,7169.906856,7394.084961,1
359,2017,15-sep,22,23,6917.08921,6955.395996,1
360,2017,15-sep,23,24,6685.899906,6911.321289,1
361,2017,16-sep,0,1,6387.579169,6452.499023,1
362,2017,16-sep,1,2,6160.607579,6332.544434,1
363,2017,16-sep,2,3,6003.365776,5973.242188,1
364,2017,16-sep,3,4,5843.200483,5835.070801,1
365,2017,16-sep,4,5,5698.130564,5849.625488,1
366,2017,16-sep,5,6,5731.026311,5698.871582,1
367,2017,16-sep,6,7,5721.926772,5731.145996,1
368,2017,16-sep,7,8,5814.119361,5782.821289,1
369,2017,16-sep,8,9,5865.311034,5818.410156,1
370,2017,16-sep,9,10,6110.880239,5924.449219,1
371,2017,16-sep,10,11,6227.830873,6240.0625,1
372,2017,16-sep,11,12,6384.412082,6349.555664,1
373,2017,16-sep,12,13,6469.37603,6492.485352,1
374,2017,16-sep,13,14,6500.917622,6566.396484,1
